"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.33736959222196","5.23507711844614","5.17367614832841","4.93017171907975","4.81934286620627","4.80199889029823","4.94566339256507","5.0185901519783","5.07050055197421","5.14011228792519","5.43441040622844","5.61823130120161","5.83672403765978","5.63625268029042","5.67280862006757","6.02581222202653","6.22680879378091","6.37985980608222","6.31719170796762","6.2055760760076","6.70493989054303","6.73300310293257","6.90086970253172","6.98315110652369","6.99252658644866","7.17085527894177","7.17576972317745","7.30068233533658","7.48668507908976","7.39668920093667","7.2701965129751","7.26386164761439","7.50820250705387","7.50816975689979","","",
"Afghanistan","AFG","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9439362811823","14.3788055283269","14.1556838354356","13.6839015829357","14.2228621764313","14.2117831123572","13.992526122697","13.8680897776484","14.1806016645087","13.7801953624406","14.5487885040488","14.7141171074503","15.6788830252342","15.8932551976889","16.3685867356651","16.315509716933","17.2269003138778","17.8463199889558","18.1634667142108","19.5368736735567","17.8665452569064","17.1357629084018","17.7350935761936","18.2293578469712","18.8490482635528","19.8702777838967","18.8826402028563","19.281263006998","19.7951212746121","18.9104601482556","17.811569651068","17.310786377954","17.6721090042888","18.2606882386764","","",
"Angola","AGO","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.5357458113046","16.3090852627892","15.2717340931679","11.2093081715839","11.2062612696811","12.9253992143269","14.2166011517923","14.9040022298789","15.6193208462632","15.2078062187022","15.2864927872141","15.3032235852006","16.6668085412681","16.0644091390993","17.7248337842746","21.3985831581611","21.4602047256556","22.1279591743756","22.3703627872863","20.6113969708894","21.5924522361801","21.5580407607517","20.6608132083588","21.5901661117602","24.7493698327387","20.9674737943336","22.1451685334605","21.6512019493919","23.3318086831647","21.720779424463","21.1582972736914","20.5742354351142","20.4542641838811","19.5785937532483","","",
"Albania","ALB","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.83677908832742","7.0325078786761","8.9921021132272","10.0543260712011","10.2363638570953","12.3524455478044","12.4236478155637","12.8528273049783","12.6226091314735","10.5481456644529","11.3214693265677","12.0906856840121","11.4812946504301","12.3587955835131","11.8378732870211","12.431838669575","13.5106033543585","15.0715829865247","15.5223081124851","15.5718281021895","16.1808334834392","15.8471761051914","17.8192307885889","15.5849838700753","15.8260910729199","17.2599948044319","17.4198810095727","17.1716468728822","17.8736371999535","18.4530157020948","19.2446965141299","19.9105878213422","21.9189262312316","23.0521880080225","","",
"Andorra","AND","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7695400453606","10.2700114880242","9.87933114873093","9.55339485261338","9.30528578205803","9.35811207631011","9.48623931279696","9.61149661774154","9.94016837849311","10.1719904533281","10.3475250776541","9.77350963496184","9.39482872033025","9.59667351625506","10.0098568834469","9.83063734670898","9.9065070385831","9.91426462004737","9.79072346900417","9.44680314347795","9.35888587686477","9.47698884277028","9.41235337439534","9.55580786004237","9.27826358162931","9.34324612983268","9.41618613941666","9.35067637522859","9.6103892166332","9.75948403872353","9.84681239905502","9.79458926955817","10.0421035471495","9.77712870470607","","",
"United Arab Emirates","ARE","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3694884751522","9.09027474393518","9.86535519928086","9.49832285777597","9.16554414224787","9.2006715588024","9.21350354483405","9.44935433694414","9.26128615640363","9.35524414073286","10.6499097158759","7.75426930685802","8.05054455264827","8.89196467231116","9.86811674322037","9.72733931725516","10.2686560887871","9.7636199752765","8.51827203247405","7.5687857987463","8.01298042868439","8.61246002485757","8.69844593776775","8.57788964011808","7.88912008986244","7.54348136925345","7.42483214880107","8.65607509895436","8.68958323034257","8.33535575456697","8.24244743944157","8.06781226157102","8.43951523965579","7.68527054696454","","",
"Argentina","ARG","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5841666147461","13.2061735064436","13.8396971311064","14.5129388940928","14.1858550395442","13.813376470827","14.1423057509502","14.7838716518369","14.4305074782259","13.6274642194452","13.558749079685","13.8725870863692","12.5124569476107","12.5769659582675","12.4024004726942","13.5844267707113","13.9445160033683","14.5459979589778","14.6386948831335","14.9454575062251","15.3644422422099","15.775710097913","15.1906709644075","15.1552575089064","14.7523333205872","14.9337558649021","14.7111192550916","15.113322095824","15.1469310721001","14.9821801811851","14.7033270437942","15.1019616864017","15.3834804325096","15.4410326103049","15.4154012087912","",
"Armenia","ARM","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.82804970487415","2.36907736087579","2.71218924624135","4.66010618427497","7.81159436423053","6.99920648201634","6.84278483112552","6.76288273619346","7.12470028341539","7.61233270093327","7.3365061118886","8.07633062200563","9.77311767424819","10.5516236161343","11.0274553933168","10.4726839721952","11.6406238711626","11.8700355473437","12.050221458373","11.9144575484593","12.7981927508328","12.252858367464","12.0070896104741","12.7047276293136","12.1105899824528","12.0908350978345","12.6478954296548","12.8791141951874","14.0226884819655","13.9415875884057","12.2053679849789","12.5217097745525","13.272709791943","14.9216885403492","","",
"American Samoa","ASM","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.448575306828","","","","","","","","","","","","","","15.3377370210146","16.0922507644478","17.3762730658134","18.6045983923885","","","","","","","","","","","","","","","","","","",
"Australia","AUS","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.18509039047467","7.24269085390429","7.14156904515746","7.06460618649071","7.33752073843565","7.52267684513839","7.30452474621988","7.41654940070775","7.56642330885265","7.77720835599936","7.93826059959183","8.28015550007898","8.51941528389968","8.47307954271194","8.68013878998919","8.88916445822543","8.77795671318544","8.82564435938742","8.81728800640069","8.96791773224817","9.15144622671005","9.3455452610609","9.83133600920346","9.92069779047553","10.2616186298053","10.5063915563959","10.8357436407274","11.0183650104927","11.3337807932901","11.0958215472755","11.0990620714785","11.6504699892291","12.1463262440111","12.3151953921995","12.6951516514596","",
"Austria","AUT","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3494194080938","12.9709752102187","13.7819722559993","13.6976680520479","14.0649264254403","13.8229045750497","13.2955544826287","13.6796213802213","13.9219861793077","14.4771835004259","14.9916308315259","14.374866935848","14.4668968896018","13.8793617983668","14.0848262728463","13.9288364032159","14.2409660028393","15.0796696206012","15.1835702962143","15.3974196154419","14.6937110915369","15.6005016901065","15.740991520447","15.5072165779257","16.2240175250008","16.0588914926061","16.2154299664503","16.2856104993098","17.155581909458","17.1560582515338","16.9960070172849","16.8902036277876","18.8413103431937","19.5049628412835","19.6742710412552","",
"Azerbaijan","AZE","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.41131095275338","3.41908704778114","3.26589639167627","2.80264620540517","2.47974906318606","2.32762612978394","2.78991303277262","3.06377187403199","3.24657086802066","3.74922520440698","4.03030417860062","4.37140192449299","4.73649653950735","4.96289438098258","5.15612814394294","6.28291816800174","8.57240477424676","11.3659661229163","11.3170825380122","13.8302029631922","15.2578341040545","13.8663731136718","13.039097475739","13.6181395035561","13.5694934898499","13.6862133984408","13.3850710431907","13.2940323972051","13.4445089950218","12.6600860399518","12.4451564833685","12.3851536569956","12.2816724715014","12.3027195126062","","",
