country,country_code,model,formula,n,intercept,beta,r2
China,CHN,level,GDP_real ~ Energy,34,-3592326510217.48,5.052849321870451,0.9705447134606398
China,CHN,loglog,log(GDP_real) ~ log(Energy),34,-17.6086218779667,1.6588927445999717,0.9789095099982632
China,CHN,dlog,Δlog(GDP_real) ~ Δlog(Energy),33,0.072943491306229,0.2765755042380165,0.15246462114232473
Germany,DEU,level,GDP_real ~ Energy,34,7401714957120.439,-13.377841658177386,0.6735640326613094
Germany,DEU,loglog,log(GDP_real) ~ log(Energy),34,62.400017607174085,-1.270003313936069,0.610825283756731
Germany,DEU,dlog,Δlog(GDP_real) ~ Δlog(Energy),33,0.01656490803503198,0.2741362729831351,0.19261132140216652
France,FRA,level,GDP_real ~ Energy,34,1829337402971.5022,1.4176256908037128,0.004980580464378104
France,FRA,loglog,log(GDP_real) ~ log(Energy),34,21.605871189181187,0.25895087010386675,0.012439581642459396
France,FRA,dlog,Δlog(GDP_real) ~ Δlog(Energy),33,0.015525182215171728,0.29467678412773696,0.2601331455002597
India,IND,level,GDP_real ~ Energy,34,-603341164485.522,3.409833109207848,0.9895581103200803
India,IND,loglog,log(GDP_real) ~ log(Energy),34,-11.63122254359091,1.4592795089797275,0.9963408307516606
India,IND,dlog,Δlog(GDP_real) ~ Δlog(Energy),33,0.02464104800416655,0.8310426190373652,0.47882753690193036
United States,USA,level,GDP_real ~ Energy,34,-15760793884501.822,14.413426752416527,0.18767614417890666
United States,USA,loglog,log(GDP_real) ~ log(Energy),34,-41.42831168935825,2.5268941170567842,0.2799126785226914
United States,USA,dlog,Δlog(GDP_real) ~ Δlog(Energy),33,0.02269687788780151,0.5670233928414481,0.6554531374709627
World,WLD,level,GDP_real ~ Energy,34,-35725537036144.164,8.514244051342455,0.9866493778967456
World,WLD,loglog,log(GDP_real) ~ log(Energy),34,-16.528523667126112,1.605202870398917,0.9908622972229765
World,WLD,dlog,Δlog(GDP_real) ~ Δlog(Energy),33,0.015392899201262803,0.8088709033741752,0.6608595443144263
