Country Name,Country Code,year,gdp_real,gdp_ppp_real,gdp_per_energy,energy,log_gdp,log_energy,dlog_gdp,dlog_energy
China,CHN,1990,1041271896195.66,1892271367560.09,2.15574198433502,877781933696.3915,27.6714640589657,27.500664032644924,,
China,CHN,1991,1138752669458.5,2069420176441.64,2.42817959368777,852251695805.8821,27.76095462971849,27.471147737761072,0.08949057075279043,-0.029516294883851657
China,CHN,1992,1301589870245.13,2365339209451.12,2.68344178758115,881457246584.519,27.894607610280335,27.504842336853194,0.13365298056184471,0.033694599092122246
China,CHN,1993,1482889338698.69,2694809153240.02,2.88501522764224,934071032769.673,28.025013556407146,27.562818324499354,0.13040594612681033,0.05797598764615941
China,CHN,1994,1676743149158.28,3047093716345.3,3.11301873600764,978822800229.3082,28.147874426131885,27.609616462307077,0.12286086972473953,0.04679813780772335
China,CHN,1995,1861735071148.11,3383273842295.33,3.21717383436326,1051629167860.9105,28.252530002785054,27.681361666067264,0.10465557665316894,0.07174520376018734
China,CHN,1996,2047465483836.55,3720796004661.86,3.4534862079651,1077402885258.4493,28.347623794820457,27.705574525171855,0.09509379203540291,0.02421285910459048
China,CHN,1997,2237626840759.87,4066370385606.02,3.77162669564954,1078147630648.7219,28.436436974096445,27.706265527692473,0.08881317927598786,0.0006910025206181558
China,CHN,1998,2414864610327.86,4388459129025.54,4.05036866152882,1083471529569.1398,28.51266433948551,27.711191381222395,0.07622736538906594,0.004925853529922364
China,CHN,1999,2601702759078.63,4727994346043.03,4.28519625947246,1103332043565.5103,28.587187253935692,27.72935584767487,0.07452291445018133,0.01816446645247538
China,CHN,2000,2825096197799.54,5133960366384.9,4.52750187898927,1133949914015.5007,28.669563532265606,27.756728152723863,0.08237627832991379,0.02737230504899202
China,CHN,2001,3059936242478.58,5560727951418.39,4.74457571082834,1172017961211.4482,28.749415195884456,27.78974813223168,0.07985166361885021,0.033019979507816544
China,CHN,2002,3342778183071.46,6074727904441.69,4.86027062589304,1249874414827.5698,28.837823368509216,27.854064194057553,0.08840817262476008,0.06431606182587402
China,CHN,2003,3681006926650.74,6689380589777.04,4.69806372809126,1423859057036.4224,28.93420745205437,27.98439194721954,0.09638408354515349,0.13032775316198553
China,CHN,2004,4053944733453.66,7367108987395.51,4.55081488915929,1618854901117.8296,29.0307115312689,28.11274016407394,0.09650407921452953,0.1283482168544019
China,CHN,2005,4518455387849.41,8211249902415.96,4.59801438260999,1785825188688.2908,29.13919132301835,28.210901714918457,0.1084797917494491,0.09816155084451594
China,CHN,2006,5091154930758.42,9251999154576.55,4.73571598650728,1953664278207.7295,29.258525822669807,28.30072784220206,0.11933449965145826,0.0898261272836045
China,CHN,2007,5811552614974.09,10561155692920.1,5.02280546189697,2102640799656.1055,29.39086888258535,28.374215194283074,0.13234305991554507,0.07348735208101331
China,CHN,2008,6373544042638.01,11582445416831.7,5.36433459143853,2159157901022.2937,29.483176795420558,28.40073940097138,0.09230791283520645,0.02652420668830402
China,CHN,2009,6972829250985.1,12671507980510.5,5.50638757066948,2301237938282.2607,29.573042176700692,28.464468328103433,0.08986538128013422,0.06372892713205403
China,CHN,2010,7711689202853.29,14014215429607.2,5.51442919129852,2541371906945.672,29.673758371964812,28.563725171990985,0.10071619526411979,0.09925684388755229
China,CHN,2011,8441318020902.42,15340147423340.5,5.62525905905797,2727011727333.5723,29.76415957595818,28.634227520235108,0.09040120399336615,0.07050234824412271
China,CHN,2012,9104482675356.36,16545296138278.3,5.85926751699787,2823782339734.4487,29.839788009850484,28.669098357424247,0.07562843389230522,0.03487083718913908
China,CHN,2013,9812695262900.89,17832309075487.5,6.12018498237226,2913687923951.52,29.914698098242997,28.70044072254829,0.07491008839251379,0.031342365124043425
China,CHN,2014,10544908798424.0,19162938196730.9,6.41481516014454,2987293899875.848,29.98666428102378,28.725389043317175,0.07196618278078404,0.024948320768885424
China,CHN,2015,11280814787468.9,20500277500109.2,6.83021877799996,3001408617559.998,30.05412459232143,28.730102833584294,0.06746031129764773,0.004713790267118156
China,CHN,2016,12045152668727.3,21889285206099.4,7.33888418946148,2982644860036.3613,30.119683426778263,28.723831559742806,0.06555883445683364,-0.0062712738414880675
China,CHN,2017,12875216222853.4,23397734154416.1,7.56256486871442,3093888721696.8154,30.18632535634536,28.7604499015945,0.06664192956709769,0.0366183418516961
China,CHN,2018,13745158275136.7,24978653070010.0,7.70563982368145,3241606620808.3145,30.2517077525858,28.80709019344943,0.06538239624044095,0.046640291854927796
China,CHN,2019,14579283528148.4,26494483218696.0,7.84852328932956,3375728432215.5874,30.310622700571052,28.847632248732296,0.058914947985250876,0.040542055282866585
China,CHN,2020,14920466234565.3,27114504049776.0,7.79212955044338,3479729626445.0786,30.333754959181427,28.877975713146366,0.02313225861037438,0.030343464414070098
China,CHN,2021,16199162892908.6,29438240129870.1,7.94393668094446,3705749593962.042,30.41598068355453,28.940906673770662,0.08222572437310305,0.06293096062429626
China,CHN,2022,16706875253648.5,30360890176120.6,8.03270195915183,3779660982134.385,30.446841442464667,28.960655434271864,0.030860758910137065,0.019748760501201446
China,CHN,2023,17611526369126.6,32004884803945.3,7.95774856871017,4021851724467.44,30.49957471095117,29.022763540479954,0.05273326848650228,0.06210810620808971
Germany,DEU,1990,2364190062225.0,3359036344895.62,9.56354931460279,351233233018.0632,28.491456610812943,26.584716321275117,,
Germany,DEU,1991,2484959073005.6,3530624705337.06,10.2540040933448,344316685774.34607,28.541277305726062,26.564827669010434,0.04982069491311947,-0.01988865226468306
Germany,DEU,1992,2534996542114.29,3601717837834.41,10.6590001085325,337903912295.79266,28.561213388913284,26.546027408864774,0.019936083187221953,-0.018800260145660275
Germany,DEU,1993,2510330187123.32,3566671931739.7,10.6590986347746,334612902455.3418,28.551435409075186,26.536240185590536,-0.00977797983809836,-0.009787223274237533
Germany,DEU,1994,2575519839599.45,3659293254989.99,10.988265707428,333018271711.0972,28.57707250912543,26.531463195424845,0.025637100050243333,-0.0047769901656913305
Germany,DEU,1995,2614281254585.26,3714365393138.8,11.0380762708893,336504776917.93896,28.592010320822805,26.541878181823268,0.014937811697375736,0.01041498639842331
Germany,DEU,1996,2641414240990.66,3752915884039.48,10.7868677886299,347915257475.883,28.60233558699712,26.575224774066445,0.010325266174316283,0.03334659224317704
Germany,DEU,1997,2690394576515.06,3822507043329.28,11.0849006377327,344839089519.44684,28.62070898150479,26.566343737986095,0.018373394507669616,-0.008881036080349958
Germany,DEU,1998,2746774816494.42,3902611971545.74,11.3859994944193,342755326263.5006,28.641448545343934,26.560282695059488,0.020739563839143216,-0.00606104292660703
Germany,DEU,1999,2805269313430.67,3985720831668.57,11.8984367696451,334978527753.8987,28.6625206622126,26.537332270460205,0.021072116868666058,-0.022950424599283537
Germany,DEU,2000,2885963533943.47,4100371013080.13,12.1818459934529,336596852011.0879,28.690879940699176,26.542151766345324,0.028359278486576045,0.004819495885119096
Germany,DEU,2001,2933181986968.52,4167458893363.17,12.0205942595627,346693250214.9672,28.707108952061873,26.571706220786112,0.01622901136269661,0.02955445444078819
Germany,DEU,2002,2926486831428.63,4157946430235.71,12.2684534594582,338913657208.37427,28.704823785899453,26.54901121338532,-0.002285166162419472,-0.022695007400791667
Germany,DEU,2003,2910982263391.97,4135917572074.44,12.2328439097132,338099431546.77325,28.699511687712967,26.546605865341988,-0.00531209818648648,-0.002405348043332367
Germany,DEU,2004,2944810405337.25,4183980526102.57,12.2724341641831,340925074042.2344,28.71106555246642,26.554928565870703,0.011553864753452103,0.008322700528715643
Germany,DEU,2005,2970886268370.04,4221029058304.43,12.4536365681488,338939476449.7993,28.719881431087284,26.54908739284118,0.008815878620865192,-0.005841173029523361
Germany,DEU,2006,3085761005285.65,4384242846643.73,12.5644028091662,348941602178.27954,28.757819422050567,26.578170416145714,0.03793799096328243,0.029083023304533384
Germany,DEU,2007,3174912263837.68,4510908770189.5,13.6273640378936,331018438903.2259,28.786301114454442,26.525439917428187,0.02848169240387577,-0.05273049871752633
Germany,DEU,2008,3203102383827.36,4550961234297.73,13.5783293733415,335163561670.01575,28.795140951023583,26.537884493410353,0.008839836569141113,0.012444575982165418
Germany,DEU,2009,3025504625850.04,4298630707514.13,13.7336486249339,312999904461.64624,28.738099011961523,26.46946872225216,-0.05704193906206001,-0.0684157711581932
Germany,DEU,2010,3150598283304.25,4476363516994.4,13.5833761355527,329547195949.18,28.77861348193914,26.520985415682436,0.040514469977615875,0.051516693430276206
Germany,DEU,2011,3268996785218.57,4644583863347.23,14.8664770896588,312419938855.4554,28.815504260255814,26.46761407763661,0.036890778316674755,-0.0533713380458245
Germany,DEU,2012,3284148978797.69,4666112068608.89,14.8252170416854,314741568739.8546,28.820128671531695,26.475017722347207,0.004624411275880647,0.007403644710596069
Germany,DEU,2013,3297186905208.25,4684636327455.46,14.572622720229,321468305149.5238,28.82409076788914,26.496164791470473,0.003962096357444267,0.02114706912326625
Germany,DEU,2014,3369071713224.27,4786770113833.19,15.5776835396482,307283820578.96735,28.845658366331303,26.451037654449355,0.021567598442164382,-0.04512713702111881
Germany,DEU,2015,3425099578746.09,4866374389150.05,15.7566961431162,308844845705.55585,28.862151661306545,26.456104870283223,0.016493294975241213,0.005067215833868488
Germany,DEU,2016,3501212900675.89,4974516039340.52,16.043684955454,310060690742.3377,28.884130567441996,26.460033891852053,0.021978906135451837,0.0039290215688296826
Germany,DEU,2017,3599173571724.7,5113698357920.12,16.4398876414384,311054337441.4875,28.911725371627096,26.46323345232553,0.02759480418509952,0.0031995604734760263
Germany,DEU,2018,3640049243667.4,5171774427975.31,17.0476741693584,303371262061.72394,28.923018325965742,26.4382231797363,0.01129295433864641,-0.02501027258922761
Germany,DEU,2019,3675639268112.03,5222340661010.2,17.6005203625001,296715128499.0976,28.93274818397239,26.416038352154935,0.009729858006647163,-0.022184827581366307
Germany,DEU,2020,3523764998709.97,5006558013528.86,17.9754275929551,278522332091.3391,28.890551135828243,26.35276408014145,-0.042197048144146265,-0.06327427201348357
Germany,DEU,2021,3661544208117.2,5202314428956.09,18.0358275049447,288443345753.3248,28.928906089146928,26.387764528405317,0.03835495331868444,0.03500044826386528
Germany,DEU,2022,3727790994177.62,5296437725413.92,19.5214257935273,271314082354.06937,28.946836947386704,26.326542962208777,0.017930858239775915,-0.06122156619654007
Germany,DEU,2023,3695372350062.48,5250377382984.22,21.5283947281842,243881508550.68698,28.93810243658112,26.21994832359379,-0.00873451080558496,-0.10659463861498608
France,FRA,1990,1630899060963.07,2252131019723.13,10.0658692588471,223739347473.01486,28.120152549830756,26.133747583908878,,
France,FRA,1991,1651067777785.17,2279982279111.45,9.6413261778426,236480151905.99353,28.13244333258912,26.189130117069006,0.01229078275836315,0.05538253316012742
France,FRA,1992,1676098974378.87,2314548203918.7,9.95927967169197,232401165567.9797,28.147490170170165,26.17173087726434,0.01504683758104619,-0.01739923980466429
France,FRA,1993,1670081815758.79,2306239026543.33,9.76202214356637,236246035158.12036,28.143893732629497,26.188139620779946,-0.003596437540668518,0.01640874351560484
France,FRA,1994,1709890902349.41,2361211943582.49,10.3891136925319,227277515047.29623,28.167450684612156,26.14943764099055,0.023556951982659058,-0.03870197978939771
France,FRA,1995,1749300344479.7,2415632986071.29,10.2041874090397,236729578675.84103,28.190237020766926,26.19018430837923,0.02278633615476977,0.0407466673886816
France,FRA,1996,1773739467493.06,2449381308300.82,9.7904641637494,250180304767.36804,28.204111127414624,26.245447713924637,0.01387410664769817,0.055263405545407096
France,FRA,1997,1818562957062.05,2511278683611.68,10.3561596699664,242491306009.36627,28.229067721099756,26.2142316951735,0.02495659368513259,-0.031216018751138108
France,FRA,1998,1881350558837.76,2597982949373.9,10.4092546987659,249583954332.66818,28.26301101721782,26.24306118584911,0.033943296118064126,0.028829490675612135
France,FRA,1999,1945303460549.75,2686296393899.28,10.7821479365657,249142973153.72504,28.296439101677173,26.241292757999865,0.03342808445935219,-0.0017684278492460237
France,FRA,2000,2025858476151.37,2797535926604.37,11.118779350295,251604590618.13712,28.337014665490553,26.251124607306313,0.040575563813380455,0.009831849306447538
France,FRA,2001,2064338989612.96,2850674198675.33,10.9552179546627,260211545810.64648,28.355831189215657,26.284760774871447,0.01881652372510345,0.033636167565134656
France,FRA,2002,2086380974762.6,2881112280148.3,11.0443708833816,260867034489.35175,28.36645208994593,26.287276668056247,0.010620900730273775,0.0025158931847997223
France,FRA,2003,2106573536968.08,2908996467955.6,10.8764040796931,267459396197.5789,28.376083827306637,26.312233601845623,0.009631737360706438,0.024956933789376023
France,FRA,2004,2166995343501.89,2992433774420.27,11.0280083011108,271348523932.36374,28.404362689658075,26.32666989772245,0.028278862351438505,0.014436295876826932
France,FRA,2005,2207920477337.34,3048947856501.29,11.1870335171903,272543016145.98666,28.423072227996148,26.331062296008003,0.018709538338072207,0.004392398285553156
France,FRA,2006,2267844862926.15,3131698267518.58,11.6800741743082,268123148944.30606,28.44985109686461,26.314712222900642,0.026778868868461814,-0.01635007310736114
France,FRA,2007,2325232266328.63,3210945324824.36,12.1090357374146,265169365625.30362,28.47484104947443,26.30363457435244,0.02498995260982184,-0.011077648548202035
France,FRA,2008,2334072135222.36,3223152421770.07,12.1004558370142,266366198528.71475,28.478635555580258,26.308137885162672,0.003794506105826656,0.004503310810232364
France,FRA,2009,2268145064848.79,3132112820496.35,12.2905578878508,254838946211.90787,28.44998346132214,26.263897599089255,-0.02865209425811699,-0.04424028607341768
France,FRA,2010,2313515332182.54,3194765248768.1,12.1596739026866,262734451132.1342,28.46978927253865,26.294409667529525,0.019805811216510705,0.030512068440270212
France,FRA,2011,2369909039106.43,3272640096893.57,12.6766959960707,258161913633.32886,28.493872690215184,26.276852797249138,0.024083417676532548,-0.017556870280387216
France,FRA,2012,2374265767668.09,3278656363487.31,12.7088339756827,257982468711.1931,28.49570935516276,26.276157468827464,0.0018366649475751728,-0.0006953284216741906
France,FRA,2013,2392826743357.49,3304287470958.63,12.7529919075171,259099001624.15668,28.5034965207951,26.280476071261806,0.007787165632340276,0.0043186024343420115
France,FRA,2014,2416703156974.4,3337258740017.21,13.3995774955709,249057012515.52954,28.51342539545071,26.240947673128243,0.009928874655610542,-0.03952839813356235
France,FRA,2015,2442483452642.5,3372859106073.87,13.3404385153748,252829702875.70862,28.52403644607786,26.255981987869696,0.010611050627151286,0.015034314741452448
France,FRA,2016,2463489569347.31,3401866742516.37,13.7121401053049,248091597401.3618,28.53259998484284,26.237063859280884,0.008563538764978063,-0.01891812858881181
France,FRA,2017,2514819204088.14,3472748543479.96,14.0053464157639,247958775198.2459,28.553222029853764,26.236528340254484,0.02062204501092424,-0.0005355190263998111
France,FRA,2018,2556210832760.02,3529906814718.25,14.3242420844676,246428871691.98862,28.56954713447247,26.23033923581606,0.016325104618704955,-0.006189104438423243
France,FRA,2019,2608036638906.12,3601473785622.54,14.8240416015214,242948170440.43637,28.589618808554594,26.21611396716876,0.020071674082124957,-0.014225268647301448
France,FRA,2020,2413981867676.36,3333500874071.68,15.273811063789,218249450654.44153,28.512298727256855,26.108904514615723,-0.0773200812977386,-0.10720945255303604
France,FRA,2021,2580120255051.75,3562923665911.39,15.1354029346359,235403291296.46,28.578857124261013,26.184566013393027,0.06655839700415811,0.0756614987773041
France,FRA,2022,2650215998256.03,3659719845024.82,17.3130735606318,211384756854.8809,28.60566226138088,26.07694580208215,0.026805137119865208,-0.10762021131087707
France,FRA,2023,2688358302961.22,3712391079956.77,17.3133304775592,214423855928.15967,28.619951826938763,26.09122052827484,0.014289565557884742,0.014274726192688547
India,IND,1990,465242841648.51,1905660987236.34,6.80832949454775,279901404413.8775,26.865825346318186,26.357703251011063,,
India,IND,1991,470159674247.956,1925800611593.23,6.57771929474269,292776344702.4025,26.876338206396976,26.402674825819073,0.010512860078790709,0.04497157480800951
India,IND,1992,495935689518.468,2031380627684.13,6.69141070064962,303580323875.04144,26.929712097036088,26.43891207099692,0.053373890639111465,0.036237245177847655
India,IND,1993,519496484311.542,2127886975436.52,6.80633709338721,312633204356.5544,26.97612588001629,26.468296469243437,0.04641378298020271,0.029384398246516952
India,IND,1994,554089360749.644,2269581353432.3,6.93335213684566,327342576669.5372,27.040591811678226,26.51427309453205,0.06446593166193537,0.04597662528861335
India,IND,1995,596058814154.216,2441490607802.2,7.03024382786953,347283916117.32733,27.11360518060987,26.573408484415655,0.0730133689316439,0.059135389883604006
India,IND,1996,641058406947.109,2625811484450.37,7.28921670621322,360232325403.65656,27.186386408198274,26.610015008592363,0.07278122758840411,0.03660652417670818
India,IND,1997,667020123972.214,2732152145428.85,7.26907395991378,375859725804.91626,27.226086053279786,26.652481841060727,0.03969964508151236,0.04246683246836369
India,IND,1998,708271422053.216,2901119794984.25,7.52830930161186,385361397726.1935,27.286093221656685,26.677447426327902,0.06000716837689879,0.024965585267175072
India,IND,1999,770923380745.097,3157745760533.79,7.73959967428018,407998590809.2172,27.37085482910607,26.73452955744563,0.08476160744938355,0.05708213111772764
India,IND,2000,800534479623.61,3279034495943.53,7.84849567608411,417791463647.66235,27.408545441064714,26.758248254188683,0.03769061195864509,0.023718696743053158
