country,country_code,start_year,end_year,window,beta_loglog,r2_loglog,n
India,IND,2000,2014,15,1.2991791969639168,0.9879383481436852,15
India,IND,2001,2015,15,1.2819493482303346,0.991190711902128,15
India,IND,2002,2016,15,1.2937838647298205,0.9889602187003254,15
India,IND,2003,2017,15,1.301821021888489,0.9869418845462418,15
India,IND,2004,2018,15,1.3319221962933825,0.9835777476799062,15
India,IND,2005,2019,15,1.372366850941446,0.9786296991310749,15
India,IND,2006,2020,15,1.4270643616982583,0.9750891269525133,15
India,IND,2007,2021,15,1.4993513103860612,0.9778707347481944,15
India,IND,2008,2022,15,1.5545417412478262,0.9842918292142863,15
India,IND,2009,2023,15,1.5734124251946997,0.9852302079623653,15
United States,USA,1990,2004,15,2.369794994637076,0.9773408063753185,15
United States,USA,1991,2005,15,2.5184236038568835,0.9787405360217742,15
United States,USA,1992,2006,15,2.717093560037255,0.963776664793109,15
United States,USA,1993,2007,15,2.8855956189110312,0.9623658314705196,15
United States,USA,1994,2008,15,3.088501188724151,0.923444122729758,15
United States,USA,1995,2009,15,2.8639100585618955,0.7038411829367174,15
United States,USA,1996,2010,15,2.643162884634047,0.5144549521287901,15
United States,USA,1997,2011,15,1.8184900532318233,0.24268513044353857,15
United States,USA,1998,2012,15,0.3804635563242002,0.012541930719312533,15
United States,USA,1999,2013,15,-0.7502091467224848,0.05301837960009226,15
United States,USA,2000,2014,15,-1.2112973757560765,0.15257274543346866,15
United States,USA,2001,2015,15,-1.3029469027778222,0.1846081053151556,15
United States,USA,2002,2016,15,-1.6236951229114294,0.33160099188675163,15
United States,USA,2003,2017,15,-1.7432348743354718,0.4361483504531508,15
United States,USA,2004,2018,15,-1.632017766771783,0.3690215077433652,15
United States,USA,2005,2019,15,-1.4176766706492399,0.22308961286247198,15
United States,USA,2006,2020,15,-1.3002113929211239,0.25581818079787466,15
United States,USA,2007,2021,15,-1.3783396293081371,0.22078007728252802,15
United States,USA,2008,2022,15,-1.3597535231743523,0.11801577736335411,15
United States,USA,2009,2023,15,-1.2647678848044608,0.06814215851309369,15
World,WLD,1990,2004,15,1.847388639944011,0.9666464997389129,15
World,WLD,1991,2005,15,1.7104351708858356,0.9633859473625118,15
World,WLD,1992,2006,15,1.6071007959104424,0.9679488252667785,15
World,WLD,1993,2007,15,1.5432228249187485,0.9718822416632779,15
World,WLD,1994,2008,15,1.490646673938718,0.9774211103424307,15
World,WLD,1995,2009,15,1.4595291791423421,0.9783717563284229,15
World,WLD,1996,2010,15,1.3825215535941735,0.9806696889910977,15
World,WLD,1997,2011,15,1.3239540787502362,0.9892629205596998,15
World,WLD,1998,2012,15,1.2939234221098084,0.9934713335835395,15
World,WLD,1999,2013,15,1.2869415689064465,0.9938456004666316,15
World,WLD,2000,2014,15,1.2990073735811802,0.9915455291762529,15
World,WLD,2001,2015,15,1.3535353392001483,0.982719584499928,15
World,WLD,2002,2016,15,1.4421035069255659,0.9739723941850246,15
World,WLD,2003,2017,15,1.5594401262497273,0.9713500396995429,15
World,WLD,2004,2018,15,1.6543658796033036,0.9717637099446976,15
World,WLD,2005,2019,15,1.7218632546885355,0.9702717035085412,15
World,WLD,2006,2020,15,1.797804383015781,0.9636584246765256,15
World,WLD,2007,2021,15,1.8193700069658354,0.9651050732434965,15
World,WLD,2008,2022,15,1.8676050474686663,0.9684911746083638,15
World,WLD,2009,2023,15,1.9174869904088343,0.9728798326275603,15
